0.5136,82
0.5157,68
0.5185,53
0.5135,93
0.5167,82
0.5152,78
0.5186,59
0.5253,11
0.5153,66
0.5156,74
0.5158,82
0.5137,95
0.5103,70
0.5132,93
0.5089,44
0.5034,10
0.5138,87
0.5147,75
0.5179,60
0.5144,86
0.5092,51
0.5085,38
0.513,73
0.5198,41
0.509,50
0.5116,60
0.5245,14
0.5146,84
0.5131,65
0.5181,65
0.5155,49
0.5133,92
0.5161,65
0.5284,2
0.5143,74
0.5177,68
0.5236,12
0.5126,86
0.5102,61
0.5125,72
0.5225,21
0.5099,82
0.5066,24
0.5145,81
0.5087,67
0.5142,88
0.5069,28
0.5054,17
0.5197,33
0.5122,72
0.5194,50
0.5106,60
0.526,6
0.506,22
0.5212,27
0.5063,27
0.5091,49
0.5123,86
0.514,79
0.5118,79
0.5117,72
0.5104,65
0.5239,11
0.5148,94
0.5129,79
0.5183,47
0.5214,28
0.5174,71
0.511,58
0.5128,84
0.5201,29
0.5164,67
0.5166,68
0.5093,52
0.5101,61
0.5141,86
0.5184,55
0.5191,47
0.5268,7
0.5127,63
0.5165,80
0.5209,29
0.5046,9
0.519,59
0.5082,45
0.5207,35
0.5149,73
0.5078,40
0.5112,66
0.5088,41
0.515,72
0.5218,20
0.5211,30
0.5159,66
0.5192,58
0.5178,61
0.5134,69
0.5081,37
0.52,27
0.5079,34
0.5259,6
0.5121,81
0.5109,55
0.5169,67
0.5291,4
0.5208,32
0.5048,12
0.5086,59
0.5014,5
0.5095,45
0.5113,60
0.5189,61
0.5251,10
0.5199,31
0.5269,3
0.5097,50
0.5139,78
0.521,26
0.5119,90
0.5083,48
0.5111,61
0.5246,6
0.5077,32
0.5242,14
0.5114,52
0.5163,68
0.5062,23
0.512,66
0.5049,10
0.5047,18
0.5107,67
0.5202,28
0.5193,45
0.5287,2
0.5195,41
0.5247,9
0.5172,69
0.5052,18
0.5229,25
0.5182,69
0.5032,6
0.5067,24
0.5216,22
0.5094,52
0.5084,53
0.5176,63
0.5071,24
0.5018,4
0.5227,18
0.5115,70
0.5044,15
0.5055,22
0.5254,4
0.5068,23
0.518,56
0.5124,78
0.5065,24
0.5162,76
0.522,21
0.524,11
0.5151,74
0.5224,19
0.5223,21
0.5006,5
0.5064,21
0.5267,4
0.5057,20
0.5219,18
0.5075,31
0.5073,28
0.525,5
0.5188,54
0.5061,25
0.5173,64
0.516,83
0.5108,61
0.5233,13
0.5096,46
0.5255,4
0.5221,26
0.5168,67
0.5196,33
0.5098,60
0.5215,30
0.505,21
0.5045,13
0.51,50
0.5041,13
0.5154,88
0.5263,6
0.5105,61
0.5203,39
0.5241,12
0.5204,34
0.5038,15
0.5281,2
0.5074,33
0.508,33
0.5076,33
0.4988,3
0.504,9
0.517,67
0.5238,10
0.5171,50
0.5004,4
0.5175,56
0.5016,8
0.5217,31
0.5213,24
0.507,32
0.5051,15
0.5278,1
0.5249,8
0.5226,16
0.5205,34
0.503,7
0.5031,11
0.502,3
0.5256,5
0.523,23
0.5059,20
0.5072,37
0.5035,12
0.5058,30
0.5037,7
0.5036,5
0.5232,19
0.5043,16
0.5234,11
0.4974,1
0.5274,1
0.5228,10
0.5285,2
0.5021,7
0.5053,21
0.5024,4
0.5187,46
0.5231,13
0.5007,2
0.5244,12
0.5331,1
0.5237,14
0.5296,2
0.5042,5
0.5283,1
0.5206,24
0.5029,7
0.527,2
0.5248,6
0.499,2
0.5262,1
0.5056,19
0.5261,4
0.5015,5
0.5288,2
0.5258,4
0.4951,1
0.5028,9
0.5009,3
0.5252,3
0.5039,8
0.5273,3
0.5023,5
0.5266,1
0.5318,1
0.5292,1
0.5332,1
0.5027,6
0.5298,1
0.5222,9
0.5005,1
0.5019,6
0.5022,4
0.5235,11
0.5265,2
0.5017,2
0.5257,6
0.4994,2
0.5003,3
0.5001,2
0.5322,1
0.5025,4
0.5026,3
0.4999,1
0.4998,1
0.5008,4
0.5243,8
0.4973,1
0.5033,2
0.5264,1
0.4978,1
0.4985,1
0.4946,1
0.4993,1
0.5289,1
0.501,1
0.5275,3
0.4992,3
0.4991,1
0.5271,3
0.5272,1
0.5012,2
0.5301,2
0.5013,1
0.5312,1
0.5366,1
0.4976,1
0.4983,1
0.5305,1
0.4963,1
0.531,1
0.5011,1
0.4975,1
